Current MS Compounds,ESI Mode,HMDB ID,KEGG ID,Molecular Formula,CAS,Pathways
n-isoButyrylglycine,NEG,HMDB00730,N/A,C6H11NO3,15926-18-8,Ethylmalonic encephalopathy
Adipic Acid / 3-Methylglutaric Acid,NEG,HMDB00448/HMDB00752,C06104/NA,C6H10O4,124-04-9/626-51-7,Caprolactam degradation; Microbial metabolsim; Degradation of aromatic compounds
Alpha-Ketoglutaric Acid,NEG,HMDB00208,C00026,C5H6O5,328-50-7,"TCA Cycle; Pentose, glucuronate interconversions; Ascorbate, aldarate metabolsim; Arginine biosynthesis"
2-Methylglutaric Acid,NEG,HMDB00422,N/A,C6H10O4,617-62-9,Lipid metabolism; Lipid transport; Fatty acid metabolism; Cell signaling; Lipid peroxidation
Mevalonate,NEG,HMDB00227,C00418,C6H12O4,150-97-0,"Terpenoid backbone biosynthesis; Biosynthesis of plant secondary metabolites; Biosynthesis of terpenoids, steroids; Biosynthesis of plant hormones"
2-Hydroxyglutarate,NEG,HMDB59655,C02630,C5H8O5,2889-31-8,Butanoate metabolism; C5-Branched dibasic acid metabolism
Citramalic Acid,NEG,HMDB0000426,C00815,C5H8O5,597-44-4,Lipid metabolism; Lipid transport; Fatty acid metabolism; Lipid peroxidation
L-Tartaric Acid,NEG,HMDB59916,C00898,C4H6O6,87-69-4,"Glyoxylate, dicarboxylate metabolism"
Xylose,NEG,HMDB00098,C00181,C5H10O5,58-86-6,"Pentose, glucuronate interconversions; Amino sugar, nucleotide sugar metabolism; ABC Transporters"
alpha-Ketophenylacetic Acid,NEG,HMDB0001587,C02137,C8H6O3,611-73-4,Phenylalanine metabolism; Aminobenzoate degradation; Microbial metabolism
Hydrocinnamic Acid,NEG,HMDB00764,C05629,C9H10O2,501-52-0,Phenylalanine metabolism; Meabolic pathways; Microbial metabolism; Degradation of aromatic compounds
Oxypurinol,NEG,HMDB00786,C07599,C5H4N4O2,2465-59-0,NA
Xanthine,NEG,HMDB00292,C00385,C5H4N4O2,69-89-6,"Purine metabolism; Caffeine metabolism; Biosynthesis of plant secondary metbolites; Biosynthesis of alkaloids derived from histidine, purine; Biosynthesis of secondary metabolites; Microbial metabolism"
2-Hydroxyphenylacetate,NEG,HMDB62635,C01983,C8H8O3,611-71-2,Aminobenzoate degradation; Microbial metabolism
L-Mandelic Acid,NEG,HMDB00703,C01984,C8H8O3,90-64-2,Aminobenzoate degradation; Microbial metabolism
Arabitol/Xylitol,NEG,HMDB00568,C01904,C5H12O5,488-82-4,"Pentose, glucuronate interconversions"
3/4-Hydroxyphenylacetic Acid,NEG,HMDB0000440/HMDB60390,C05593/C00642,C8H8O3,621-37-4/N/A,Tyrosine metabolism; Phenylalanine metabolism; Styrene degradation; Microbial metabolism
3-Hydroxyanthranilic Acid,NEG,HMDB01476,C00632,C7H7NO3,548-93-6,Tryptophan metabolism; Aminobenzoate degradation; Microbial metabolism
Dopamine,NEG,HMDB00073,C03758,C8H11NO2,62-31-7,Tyrosine metabolism
3-Sulfinoanaline,NEG,HMDB0000996,C00606,C3H7NO4S,1115-65-7,"Cysteine, methionine metabolism; Taurine, hypotaurine metabolism"
2_3-Dihydroxybenzoic Acid,NEG,HMDB00397,C00196,C7H6O4,303-38-8,Benzoate degradation; Aminobenzoate degradation; Biosynthesis of siderophore group nonribosomal peptides; Biosynthesis of phenylpropanoids; Biosynthesis of secondary metbolites; Microbial metabolism
Gentisate,NEG,HMDB00152,C00628,C7H6O4,490-79-9,Tyrosine metabolism; Benzoate degradation; Naphalene degradation; Microbial metabolism
Orotate,NEG,HMDB00226,C00295,C5H4N2O4,65-86-1,Pyrimidine metabolism
Allantoin,NEG,HMDB00462,C01551,C4H6N4O3,97-59-6,NA
n-isoValerylglycine,NEG,HMDB00678,N/A,C7H13NO3,16284-60-9,Ethylmalonic encephalopathy
2-Aminoadipate,NEG,HMDB00510,C00956,C4H6N4O3,542-32-5,"Lysine biosynthesis; Lysine degradation; Penicillin, cephalosporin biosynthesis"
Indole-3-Carboxylic Acid,NEG,HMDB03320,C19837,C9H7NO2,771-50-6,NA
Indole-2-Carboxylic Acid,NEG,HMDB02285,N/A,C9H7NO2,1477-50-5,NA
3-Methyl-3-Hydroxyglutaric Acid,NEG,HMDB0000355,C03761,C6H10O5,503-49-1,Lipid metabolism; Lipid transport; Fatty acid metabolism; Lipid peroxidation
PPA,NEG,HMDB00205,C00166,C9H8O3,156-06-9,"Phenylalanine metabolism; Phenylalanine, tyrosine, tryptophan biosynthesis; Tropane, piperidine, pyridine alkaloid biosynthesis; Biosynthesis of plant secondary metabolites"
3-Hydroxycinnaminic Acid,NEG,HMDB02035,C00811,C9H8O3,501-98-4,"Ubiquinone, other terpenoid-quinone biosynthesis; Tyrosine metabolism; Phenylpropanoid biosynthesis; Biosynthesis of various secondary metabolites - part 2"
p-Coumaric Acid,NEG,HMDB01713,C12621,C9H8O3,14755-02-3,Phenylalanine metabolism; Microbial metabolism; Degradation of aromatic compounds
Xylonate,NEG,HMDB60256,C05411,C5H10O6,4172-44-5,"Pentose, glucuronate interconversions; Ascorbate, aldarate metabolism"
Phenyllactic Acid,NEG,HMDB0000779,C05607,C8H8O2,828-01-3,"Phenylalanine metabolism; Tropane, piperidine, pyridine alkaoid biosynthesis; Biosynthesis of alkaoids derived from ornithine, lysine, nicotinic acid"
3-(4-Hydroxyphenyl)Propionate,NEG,HMDB02199,C01744,C9H10O3,501-97-3,NA
Quinolinic Acid,NEG,HMDB0000232,C03722,C7H5NO4,89-00-9,"Tryptophan metabolism; beta-Alanine metabolism; Nicotinate, nicotinamide metabolism; Biosynthesis of plant secondary metabolites; Biosynthesis of alkaloids derived from ornithine, lysine, nicotinic acid"
PEP,NEG,HMDB00263,C00074,C3H5O6P,138-08-9,"Glycolysis, gluconeogenesis; TCA cycle; Phenylalanine, tyruosine, tryptophan biosynthesis; Phosphonate, phosphinate metabolism"
Homogentisate,NEG,HMDB00130,C00544,C8H8O4,451-13-8,"Ubiquinone, other terpenoid-quinone biosynthesis; Tyrosine metabolism; Styrene degradation; Microbial metabolism"
Urate,NEG,HMDB00289,C00366 ,C5H4N4O3,69-93-2,Purine metabolism; Microbial metabolism; Bile secretion
DHAP/D-GA3P,NEG,HMDB01473,C00111,C3H7O6P,57-04-5,"Glycolysis, gluconeogenesis; Pentose, glucuronate interconversions; Fructose, mannose metabolism"
Glycerol-3-P,NEG,HMDB00126,C00093,C3H9O6P,57-03-4,Glycerolipid metabolism; Glycerophospholipid metabolism; Biosynthesis of secondary metabolites; ABC Transporters; Choline metabolism in cancer
trans-Aconitate,NEG,HMDB00958,C02341,C6H6O6,4023-65-8,C5-Branched dibasic acid metabolism
Shikimic Acid,NEG,HMDB03070,C00493,C7H10O5,138-59-0,"Phenylalanine, tyrosine, tryptophan biosynthesis; Biosynthesis of plant secondary metabolites; Biosynthesis of phenylpropanoids"
cis-Aconitate,NEG,HMDB00072,C00417,C6H6O6,585-84-2,"TCA cycle; Glyoxylate, dicarboxylate metabolism; C5-Branched dibasic acid metabolism"
Suberic Acid,NEG,HMDB00893,C08278,C8H14O4,505-48-6,Lipid metabolism; Lipid transport; Fatty acid metabolism; Lipid peroxidation
Indole-3-Acetic Acid,NEG,HMDB00197,C00954,C10H9NO2,87-51-4,Tryptophan metabolism; Biosynthesis of plant hormones; Plant hormone signal transduction
Citrulline,NEG,HMDB00904,C00327,C6H13N3O3,372-75-8,Arginine biosynthesis; Biosynthesis of various secondary metabolites - part 3; Biosynthesis of secondary metabolites; Biosynthesis of amino acids
N-Acetyl-Aspartate (NAA),NEG,HMDB00812,C01042,C6H9NO5,997-55-7,"Alanine, aspartate, glutamate metabolism"
Ascorbic Acid (Vit. C),NEG,HMDB00044,C00072,C6H8O6,50-81-7,"Ascorbate, aldarate metabolism; Glutathione metabolism; Biosynthesis of secondary metabolites"
2-isoPropylmalic Acid,NEG,HMDB00402,C02504,C7H12O5,3237-44-3,Branched chain amino acid biosynthesis; Pyruvate metabolism; Biosynthesis of secondary metabolites; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids
3-isoPropylmalic Acid,NEG,HMDB12156,C04411,C7H12O5,921-28-8,Branched chain amino acid biosynthesis; Biosynthesis of secondary metabolites; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids
n-Formylmethionine,NEG,HMDB01015,C03145,C6H11NO3S,4289-98-9,"Cysteine, methionine metabolism"
Hippuric Acid,NEG,HMDB00714,C01586,C9H9NO3,495-69-2,Phenylalanine metabolism
Inositol,NEG,HMDB00211,C00137,C6H12O6,3458-28-4,"Galactose metabolism; Ascorbate, aldarate metabolism; Streptomycin biosynthesis"
Glucose,NEG,HMDB00122,C00031,C6H12O6,50-99-7,"Glycolysis, gluconeogenesis; Pentose phosphate pathway; Galactose metabolism; Starch, sucrose metabolism"
Mannose,NEG,HMDB00169,C00159,C6H12O6,3458-28-4,"Fructose, mannose metabolism; Galactose metabolism; Amino sugar, nucleotide sugar metabolism; ABC Transporters; Phosphotransferase system; Lysosome; C-type lectin recepter signaling pathway"
Fructose,NEG,HMDB00660,C00095,C6H12O6,53188-23-1,"Fructose, mannose metabolism; Galactose metabolism; Starch, sucrose metabolism; Biosynthesis of secondary metabolites; Microbial metabolism"
OH-Phenylpyruvate,NEG,HMDB00707,C01179,C9H8O4,156-39-8,"Ubiquionone, other terpenoid-quinone biosynthesis; Monobactam biosynthesis; Tyrosine metabolism; Phenylalanine, tyrosine, tryptophan biosynthesis"
Theophylline,NEG,HMDB01889,C07130,C7H8N4O2,58-55-9,"Caffeine metabolism; Biosynthesis of plant secondary metabolites; Biosynthesis of alkaloids derived from histidine, purine"
Sorbitol,NEG,HMDB00247,C00794,C6H14O6,50-70-4,"Fructose, mannose metabolism; Galactose metabolism; ABC Transporters; Phosphotransferase system"
Homovanilate,NEG,HMDB00118,C05582,C9H10O4,306-08-1,Tyrosine metabolism; Dopaminergic synapse
Mannitol,NEG,HMDB00765,C00392,C6H14O6,69-65-8,"Fructose, mannose metabolism; ABC Transporters; Phosphotransferase system"
4-Pyridoxic Acid,NEG,HMDB00017,C00847,C8H9NO4,82-82-6,Vitamin B6 metabolism; Microbial metabolism
Phosphoserine,NEG,HMDB00272,C01005,C3H8NO6P,407-41-0,"Glycine, serine, threonine metabolism; Cysteine, methionine metabolism; Methane metabolism"
2/3-Phosphoglyceric Acid,NEG,HMDB0000362,C00197/C00597,C3H7O7P,2553-59-5,"Glycolysis, gluconeogenesis; Pentose phosphate pathway; Glycine, serine, threonine metabolism; Cysteine, methionine metabolism"
Azelaic Acid,NEG,HMDB00784,C08261,C9H16O4,2553-59-5,Lipid metabolism; Lipid transport; Fatty acid metabolism; Lipid peroxidation
N-Ac-L-Glutamine,NEG,HMDB06029,N/A,C7H12N2O4,2490-97-3,NA
Kynurenic Acid,NEG,HMDB0000715,C01717,C10H7NO3,492-27-3,Tryptophan metabolism
N-Ac-Glutamate,NEG,HMDB01138,C00624,C7H11NO5,1188-37-0,Argenine biosynthesis; Biosynthesis of secondary metabolites; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids
Indole-3-Propionate,NEG,HMDB02302,N/A,C11H11NO2,830-96-6,NA
5-Hydroxyl-Indole-3-Acetic Acid,NEG,HMDB00763,C05635,C10H9NO3,54-16-0,Tryptophan metabolism; Serotonergic synapse
N-Ac-Methionine,NEG,HMDB11745,C02712,C7H13NO3S,65-82-7,NA
Citric Acid,NEG,HMDB00094,C00158,C6H8O7,77-92-9,"TCA cycle; Alanine, aspartate, glutamate metabolism; Glyoxylate, dicarboxylate metabolism"
Glucoronate,NEG,HMDB00127,C00191,C6H10O7,6556-12-3,"Pentose, glucuronate interconversions; Ascorbate, aldarate metabolism; Amino sugar, nucleotide sugar metabolism; Inositol phosphate metabolism"
4-Hydroxy-3-Nitrophenylacetate,NEG,HMDB62403,N/A,C8H7NO5,N/A,NA
Vanilmandelic Acid,NEG,HMDB00291,C05584,C9H10O5,55-10-7,Tyrosine metabolism
Erythrose-4-Phosphate,NEG,HMDB01321,C00279,C4H9O7P,585-18-2,"Pentose phosphate pathway; Phenylalanine, tyrosine, tryptophan metabolism; Carbon fixation in photosynthetic organisms; Vitamin B6 metabolism"
Cysteine-S-Sulfate,NEG,HMDB00731,C05824,C3H7NO5S2,1637-71-4,"Cysteine, methionine metabolism; Biosynthesis of amino acids"
IndolePyruvate,NEG,HMDB60484,C00331,C11H9NO3,35656-49-6,Tryptophan metabolism
Xanthurenic Acid,NEG,HMDB00881,C02470,C10H7NO4,59-00-7,Tryptophan metabolism
Indole-3-Lactate,NEG,HMDB00671,C02043,C11H11NO3,1821-52-9,NA
N-Ac-Phenylalanine,NEG,HMDB00512,C03519,C11H13NO3,2018-61-3,Phenylalanine metabolism
3-Indoxyl Sulfate,NEG,HMDB00682,N/A,C8H7NO4S,487-94-5,NA
Pantothenate,NEG,HMDB00210,C00864,C9H17NO5,79-83-4,"beta-Alanine metabolism; Pantothenate, CoA biosynthesis; Biosynthesis of secondary metabolites; Vitamin digestion, absorption"
Cystathionine,NEG,HMDB00099,C02291,C7H14N2O4S,56-88-2,"Glycine, serine, threonine metabolism; Cysteine, methionine metabolism; Biosynthesis of secondary metabolites; Biosynthesis of amino acids"
N-Ac-Tyrosine,NEG,HMDB00866,C01657,C11H13NO4 ,537-55-3,NA
Myristic Acid,NEG,HMDB0000806,C06424,C14H28O2,544-63-8,Fatty acid biosynthesis
Ribose-5-P,NEG,HMDB01548,C00117,C5H11O8P,3615-55-2,"Pentose phosphate pathway; Purine metabolism; Phosphonate, phosphinate metabolism; Carbon fixation in photosynthetic organisms"
Ribulose 5-Phosphate,NEG,HMDB00618,C00199,C5H11O8P,4151-19-3,"Pentose phsohpate pathway; Pentose, glucuronate interconversions; Lipopolysaccharide biosynthesis; Methane metabolism"
Melatonin,NEG,HMDB01389,C01598,C13H16N2O2,73-31-4,Tryptophan metabolism; Neuroactive ligand-receptor interaction; Circadian entrainment
Tetrahydrobiopterin,NEG,HMDB00027,C00272,C9H15N5O3,17528-72-2,"Folate biosynthesis; Fluid shear stress, atherosclerosis"
Thymidine,NEG,HMDB00273,C00214,C10H14N2O5,50-89-5,Pyrimidine metabolism
Pseudouridine,NEG,HMDB00767,C02067,C9H12N2O6,1445-07-4,Pyrimidine metabolism
Biotin,NEG,HMDB00030,C00120,C10H16N2O3S,58-85-5,"Biotin metabolism; ABC Transporters; Vitamin digestion, absorption"
N-Ac-Tryptophan,NEG,HMDB13713,N/A,C13H14N2O3,1218-34-4,NA
Pyridoxal-5-P,NEG,HMDB01491,C00018,C8H10NO6P,54-47-7,"Thiamine metabolism; Vitamin B6 metabolism; Vitamin digestion, absorption"
Palmitic Acid,NEG,HMDB0000220,C00249,C16H32O2,57-10-3,"Fatty acid biosynthesis; Fatty acid elongation; Fatty acid degradation; Cutin, suberin, wax biosynthesis"
5-Methyluridine,NEG,HMDB00884,N/A,C10H14N2O6,1463-10-1,NA
5-Hydroxymethyl-2'-Deoxyuridine,NEG,N/A,N/A,C10H14N2O6,5116-24-5,NA
Glucosamine-6-Phosphate,NEG,HMDB0001254,C00352,C6H14NO8P,3616-42-0,"Alanine, aspartate, glutamate metabolism; Amino sugar, nucleotide sugar metabolism; Phosphotransferase system; Insulin resistance"
G6P,NEG,HMDB0001401,C00092,C6H13O9P,56-73-5,"Starch, sucrose metabolism; Streptomycin biosynthesis; Neomycin, kanamycin, gentamicin biosynthesis; Inositol phosphate metabolism"
G1P/F1P/F6P,NEG,HMDB01586/HMDB01076/HMDB00124,C01094/C00085/C00103,C6H13O9P,59-56-3/15978-08-2/643-13-0,"Fructose, mannose metabolism; Phenylalanine, tyrosine, tryptophan biosynthesis; Microbial metabolism; Phosphotransferase system"
Phenylacetylglutamine,NEG,HMDB06344,C04148,C13H16N2O4,28047-15-6,Phenylalanine metabolism
MOPEG Sulfate,NEG,HMDB00559,N/A,C9H12O7S,3415-67-6,NA
Margaric Acid,NEG,HMDB02259,N/A,C17H34O2,506-12-7,Lipid metabolism; Lipid transport; Fatty acid metabolism; Cell signaling; Lipid peroxidation
6-Phosphogluconic Acid,NEG,HMDB0001316,C00345,C6H13O10P,921-62-0,Pentose phosphate pathway; Biosynthesis of secondary metabolites; Microbial metabolism; Carbon metabolism
Linolenic Acid,NEG,HMDB01388,C06427,C18H30O2,463-40-1,alpha-Linolenic acid metabolism; Biosynthesis of unsaturated fatty acids; Biosynthesis of plant secondary metabolites; Biosynthesis of plant hormones; Biosynthesis of secondary metabolites
Linoleic Acid,NEG,HMDB00673,C01595,C18H32O2,60-33-3,Lenoleic acid metabolism; Biosynthesis of unsaturated fatty acids; Biosynthesis of plant secondary metabolites
Xanthosine,NEG,HMDB00299,C01762,C10H12N4O6,146-80-5,"Purine metabolism; Caffeine metabolism; Biosynthesis of alkaloids derived from histidine, purine; Biosynthesis of secondary metabolites; ABC Transporters"
Sedoheptulose 7-Phosphate,NEG,HMDB01068,C05382,C7H15O10P,2646-35-7,Pentose phosphate pathway; Lipopolysaccharide biosynthesis; Carbon fixation in photosynthetic organisms; Biosynthesis of secondary metabolites
Retinoic Acid,NEG,HMDB01852,C00777,C20H28O2,302-79-4,Retinol metabolism; Th17 cell differentiation; Intestinal immune network for IgA production; Pathways in cancer; Small cell lung cancer; Non-small lung cancer; Gastric cancer
N-Acetyl-Aspartyl-Glutamate (NAAG),NEG,HMDB01067,C12270,C11H16N2O8,3106-85-2,"Alanine, aspartate, glutamate metabolism; Neuroactive ligand-receptor interaction"
Arachidonate,NEG,HMDB60102,C00219,C20H32O2,506-32-1,Arachidonic acid metabolism; Linoleic acid metabolism; Biosynthesis of unsaturated fatty acids; Ferroptosis; Necroptosis
DCMP,NEG,HMDB01202,C00239,C9H14N3O7P,1032-65-1,Pyrimidine metabolism
Reduced Glutathione,NEG,HMDB00125,C00051,C10H17N3O6S,70-18-8,"Cysteine, methionine metabolism; Glutathione metabolism; ABC Transporters; Ferroptosis; Thyroid hormone synthesis; Bile secretion"
DUMP,NEG,HMDB01409,C00365,C9H13N2O8P,964-26-1,Pyrimidine metabolism; Antifolate resistance
N-Acetylneuraminate,NEG,HMDB00230,C00270,C11H19NO9,19342-33-7,"Amino sugar, nucleotide sugar metabolism"
Geranyl Pyrophosphate,NEG,HMDB01285,C00341,C10H20O7P2,763-10-0,"Ubiquionone, other terpenoid-quinone biosynthesis; Terpinoid backbone biosynthesis; Monoterpenoid biosynthesis; Biosynthesis of plant secondary metabolites"
DTMP,NEG,HMDB01227,C00364,C10H15N2O8P,365-07-1,Pyrimidine metabolism; Antifolate resistance
CMP,NEG,HMDB00095,C00055,C9H14N3O8P,63-37-6,Pyrimidine metabolism
F16BP/F26BP/G16BP,NEG,HMDB01058/HMDB01047/HMDB03514,C00665/C00354/C01231,C6H14O12P2,34693-15-7/N/A/10139-18-1,"Fructose, mannose metabolism; AMPK signaling pathway; Glucagon signaling pathway; Central carbon metabolism in cancer"
Lactose/Trehalose,NEG,HMDB00186,C00243,C12H22O11,63-42-3,"Galactose metabolism; ABC Transporters; Phosphotransferase system; Carbohydrate digestion, absorption"
Sucrose,NEG,HMDB00258,C00089,C12H22O11,57-50-1,"Galactose metabolism; Starch, sucrose metabolism; Biosynthesis of secondary metabolites; ABC Transporters; Phosphotransferase system"
cGMP,NEG,HMDB01314,C00942,C10H12N5O7P,7665-99-8,Purine metabolism; cGMP-PKG signaling pathway; Vascular smooth muscle contraction; Gap junction
Gibberellin,NEG,HMDB03559,C01699,C19H22O6,77-06-5,Diterpenoid biosynthesis; Biosynthesis of secondary metabolites
AMP,NEG,HMDB00045,C00020,C10H14N5O7P,61-19-8,"Purine metabolism; Zeatin biosynthesis; Biosynthesis of plant secondary metabolites; Biosynthesis of alkaloids derived from histidine, purine; Biosynthesis of plant hormones"
IMP,NEG,HMDB00175,C00130,C10H13N4O8P,131-99-7,"Purine metabholism; Biosynthesis of plant secondary metabolites; Biosynthesis of alkaloids derived from histidine, purine; Biosynthesis of plant hormones"
PGE,NEG,HMDB0001220,C00584,C20H32O5,363-24-6,Arachidonic acid metabolism; cAMP signaling pathway; Neuroactive ligand-receptor interaction; C-type lectin receptor signaling pathway
Cortisol,NEG,HMDB0000063,C00735,C21H30O5,50-23-7,"Steroid hormone biosynthesis; Neuroactive ligand-receptor interaction; Cortisol synthesis, secretion"
DCDP,NEG,HMDB01245,C00705,C9H15N3O10P2,800-73-7,Pyrimidine metabolism
PRPP,NEG,HMDB00280,C00119,C5H13O14P3,7540-64-9,Pentose phosphate pathway; Purine metabolism; Pyrimidine metabolism; Histidine metabolism
Deoxycholic Acid,NEG,HMDB00626,C04483,C24H40O4,83-44-3,Secondary bile acid biosynthesis; Bile secretion
Chenodeoxycholate,NEG,HMDB00518,C02528,C24H40O4,474-25-9,Primary bile acid biosynthesis; Secondary bile acid biosynthesis; Bile secretion
UDP,NEG,HMDB00295,C00015,C9H14N2O12P2,58-98-0,Pyrimidine metabolism; Zeatin biosynthesis; Neuroactive ligand-receptor interaction
beta-Muricholic Acid,NEG,HMDB00865,C17726,C24H40O5,39016-49-4,Secondary bile acid biosynthesis
Cholic Acid,NEG,HMDB00619,C00695,C24H40O5,81-25-4,Primary bile acid biosynthesis; Secondary bile acid biosynthesis; Bile secretion
gamma-Tocopherol,NEG,HMDB01492,C02483,C28H48O2,54-28-4,"Ubiquinone, other terpenoid-quinone biosynthesis; Biosynthesis of secondary metabolites"
ADP,NEG,HMDB01341,C00008,C10H15N5O10P2,58-64-0,Oxidative phosphorylation; Photosynthesis; Purine metabolism; Zeatin biosynthesis
alpha-Tocopherol,NEG,HMDB01893,C02477,C29H50O2,59-02-9,"Ubiquionone, other terpenoid-quinone biosynthesis; Biosynthesis of plant secondary metabolites; Biosynthesis of secondary metabolites; Ferroptosis; Vitamin digestion, absorption"
GDP,NEG,HMDB01201,C00035,C10H15N5O11P2,146-91-8,Purine metabolism; RNA tr5ansport; Ras signaling pathway; Rap1 signaling pathway; Autophagy - animal; Endocytosis
Glycochenodeoxycholate,NEG,HMDB00637,C05466,C26H43NO5,640-79-9,Primary bile acid biosynthesis; Secondary bile acid biosynthesis; Bile secrection; Cholesterol metabolism
Adenylosuccinate,NEG,HMDB00536,C03794,C14H18N5O11P,19046-78-7,"Purine metabolism; Alanine, aspartate, glutamate metabolism"
Glycocholate,NEG,HMDB00138,C01921,C26H43NO6,475-31-0,Primary bile acid biosynthesis; Secondary bile acid biosynthesis; Bile secretion; Cholesterol metabolism
Cholesteryl Sulfate,NEG,HMDB00653,C18043,C27H46O4S,1256-86-6,Steroid hormone biosynthesis
dCTP,NEG,HMDB0000998,C00458,C9H16N3O13P3,2056-98-6,Pyrimidine metabolism
DUTP,NEG,HMDB01191,C00460,C9H16N3O13P3,1173-82-6,Pyrimidine metabolism
TTP,NEG,HMDB0001342,C00459,C10H17N2O14P3,365-08-2,Pyrimidine metabolism
CTP,NEG,HMDB00082,C00063,C9H16N3O14P3,65-47-4,Pyrimidine metabolism; Mannose type O-glycan biosynthesis
DATP,NEG,HMDB0001532,C00131,C10H16N5O12P3,1927-31-7,Purine metabolism
ATP,NEG,HMDB00538,C00002,C10H16N5O13P3,56-65-5,Oxidative phosphorylation; Photosynthesis; Purine metabolism; Zeatin biosynthesis
Phosphoadenosine Phosphosulfate,NEG,HMDB01134,C00053,C10H15N5O13P2S,482-67-7,"Purine emtabolism; Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate, heparin sulfate / heparin"
Tauro-alpha/beta-Muricholic Acid,NEG,HMDB00932,N/A,C26H45NO7S,25696-60-0,Lipid metabolism; Lipid transport; Fatty acid metabolism; Cell signaling; Lipid peroxidation
Taurocholate,NEG,HMDB00036,C05122,C26H45NO7S,81-24-3,"Primary bile acid biosynthesis; Secondary bile acid biosynthesis; Taurine, hypotaurine metabolism; Bile secretion; Cholesterol metabolism"
GTP,NEG,HMDB01273,C00044,C10H16N5O14P3,86-01-1,Purine metabolism; Riboflavin metabolism; Folate biosynthesis; Biosynthesis of secondary metabolites; Biofilm formation - Pseudomonas aeruginosa; RNA transport
UDP-Glucose,NEG,HMDB00286,C00029,C15H24N2O17P2,133-89-1,"Pentose, glucuronate interconversions; Galactose metabolism; Ascorbate, aldarate metabolism; Pyrimidine metabolism"
UDP-GlcNAc,NEG,HMDB00290,C00043,C17H27N3O17P2,528-04-1,"Amino sugar, nucleotide sugar metabolism; Neomycin, kanamycin, gentamicin biosynthesis"
Oxidized Glutathione,NEG,HMDB03337,C00127,C17H27N3O17P2,27025-41-8,Glutathione metabolism; Ferroptosis; Thryoid hormone synthesis
NADH,NEG,HMDB01487,C00004,C21H29N7O14P2,58-68-4,"Oxidative phosphorylation; Calcium signaling pathway; Thermogenesis; Aldosterone synthesis, secretion"
NADP,NEG,HMDB00217,C00006,C21H29N7O17P3,53-59-8,"Photosynthesis; Glutathione metabolism; Nicotinate, nicotinamide metabolism; Drug metabolism; Thyroid hormone synthesis; Aldosterone synthesis, secretion"
